 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
35,Barstow Animal Hospital,(760) 252-1239,2500 E Main St,Barstow,92311,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Care Rep,"Call back on monday
Called back today
They do not do emergency or urgent care visits strictly general practice
They don't offer dental care without anaesthesia and for the general dental care the rep says the dog has to see the doctor to determine cost 
They also don't offer canine flu or lepto vaccinations
The Bordetella and DHPP are the same prices 73 for first time and 76 for subsequent times",45,"They don't offer this 
N/A","23 (for first time)
25 (for subsequent times)","73 (for first time)
76 (for subsequent times)","73 (for first time)
76 (for subsequent times)","73 (for first time)
76 (for subsequent times)","73 (for first time)
76 (for subsequent times)","They don't offer this 
N/A","They don't offer this 
N/A",,,"403
(Exact price)","383
(Exact price)",Price varies (N/A),"They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this citing general practice
N/A","They don't offer this
N/A",,,
36,Isa Companion Animal Clinic,(760) 256-1649,790 E Main St,Barstow,92311,General Practice,"Tuesday: 1:00 PM – 5:00 PM
Wednesday: 1:00 PM – 5:00 PM
Friday: 1:00 PM – 5:00 PM",No Answer,,No,,,"Closed on weekends
Plus they do not accept new clients",,,,,,,,,,,,,,,,,,,,,,,
37,Animal Care Clinic,(562) 920-1795,10404 Rosecrans Ave,Bellflower,90706,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,Customer Service,"Closed on weekends
Will call back on monday
Called back today 
They do not offer influenza vaccine nor emergency and urgent care visits (general clinic)
They do not do dental cleanings without anaesthesia
They don't charge vet tech fee","50 (Exact Price)
","N/A
They don't charge that","20.50
(Exact Price)","30.50
(Exact Price)",,,25.50 (Exact Price),"N/A
They don't offer that","35.50
(Exact Price)",,,"340
(Exact Price)","254
(Exact Price)","1000
(Starting Price)","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A",,,
38,Bellflower Pet Hospital & Hotel,(562) 925-5300,10326 Artesia Blvd,Bellflower,90706,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,,"Closed 
Will call back on monday
Called today, they don't perform dental care without anaesthesia
They also do not offer emergency after hours or urgent care (same day) visits
Their Rabies, DHPP and Bordetella are all the same price
They offer lepto as a combo with DHPP but DHPP can be offered seperately",65 (Exact Price),"N/A
They don't charge that","30
(Exact Price)","30
(Exact Price)","30
(Exact Price)","30
(Exact Price)","30
(Exact Price)","49
(Exact Price)","39

( Exact price as a combo package with Dhpp)",,,"700
(Exact Price)","500
(Exact Price)","700
(Start Price)","They don't offer this
N/A",,,,"They don't offer this
N/A","Varies on the dog's condition
N/A",,,
39,Bellwood Animal Hospital,(562) 272-7777,17435 Lakewood Blvd,Bellflower,90706,General Practice,"Monday: 10:00 AM – 12:00 AM
Tuesday: 10:00 AM – 12:00 AM
Wednesday: 10:00 AM – 12:00 AM
Thursday: 10:00 AM – 12:00 AM
Friday: 10:00 AM – 11:00 PM
Saturday: 10:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM",Called - Got Prices,,Yes,Yes,Customer Care rep,"Dental care with anaesthesia depends on what they find when examined by the doctor
They don't carry lepto or canine flu vaccines
They also don't have vet tech fees","150
(Exact)","They don't have this
N/A","25
(Exact)","26
(Exact)",,,"32.99
(Exact)","They don't have this
N/A""","They don't have this 
N/A",,,500 - 800,350 - 500,"Have to see the doctor to determine procedure
N/A","395 
(Start Price)",,,,,,,,
40,Amanda Foundation,(310) 278-2935,351 Foothill Rd,Beverly Hills,90210,General Practice,"Monday: 10:00 AM – 5:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",No Answer,,Unknown,Unknown,,"Called twice no answer Will call back later
Called back today (monday) thrice, i was told to record my name and the reason for my call to get a rep but no answer",,,,,,,,,,,,,,,,,,,,,,,
41,Beverly Hills Small Animal Hospital - John Winters DVM,(310) 276-7113,353 Foothill Rd,Beverly Hills,90210,General Practice,"Tuesday: 7:00 AM – 6:30 PM
Wednesday: 7:00 AM – 6:30 PM
Thursday: 7:00 AM – 6:30 PM
Friday: 7:00 AM – 6:30 PM
Saturday: 7:00 AM – 6:30 PM
Sunday: 7:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"Called and left a voicemail
Awaiting a callback or will call them back later
Called back, the rep was exremely helpful
Was given the same price range for both the spay and the neuter, citing that the exact price range will be determined by the doctor
They don't provide emergency care services and was provided the exam fee for the urgent care visit with the exact price at the doctor's discretion
They do not charge vet tech fees
Their rabies, bordetella and dhpp vaccines can be administered as a combination but their standalone prices are uniform.",110 (Exact Price),"They don't charge this
N/A",52 (Exact Price),52 (Exact Price),52 (Exact Price),52 (Exact Price),52 (Exact Price),81 (Exact Price),63 (Exact Price),,,"950 - 1200 (Range, Exact price at doctor's examination)","950 - 1200 (Range, Exact price at doctor's examination)",1000 (Starting Price),227 (Starting Price),,,,"They don't offer this 
N/A","264 Exam fee
(Exact price and price range at doc's discretion)",,,
42,Dr Shipp's Animal Hospital,(310) 550-0101,351 Foothill Rd,Beverly Hills,90210,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",Voicemail Left,,,,,"Called and left a voicemail
Awaiting a callback or will call them back later
Called them today (monday) twice and the calls went straight to voicemail left a voicemail at the second call awaiting their call back.",,,,,,,,,,,,,,,,,,,,,,,
43,Aloha Veterinary Hospital,(714) 462-3360,407 W Imperial Hwy suite f,Brea,92821,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"Do not perform dental care without anaesthesia
Their vaccine costs are grouped into lifestyle and core vaccines
No vet tech fees",74,N/A,"26-44
(Range, Core Vaccine","24-44
(Range Core Vaccine)",,,"37-63
(Lifestyle Vaccine)","37-63
(Lifestyle Vaccine)","37-63
(Lifestyle Vaccine)",,,"1984 -2308
(Range)","889 - 4439
(Range)
","1461 - 3078
(Range)","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A",,,
44,Brea Regional Animal Hospital,(714) 988-4727,2500 E Imperial Hwy Suite 200,Brea,92821,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,"Closed on weekends
Will call on monday
Vet tech fees apart from nail trims depends on what the vet tech would want to charge for the services
They do not provide dental care services without anaesthesia and the price for dental consultation with anaesthesia, extraction is at the doctor's discretion
They also do not provide emergency care services but their urgent care service price is at the discretion of the doctor",85 (exact fee),"dependent on service (varies)
N/A",37 (exact fee),47 (exact fee),,,40 -45 ,"55
(exact fee)","47 - 49
(exact fee)",,,495 (Starting Price),485 (Starting price),"At the doctor's discretion
N/A","They don't offer this 
N/A","They don't offer this 
N/A","They don't offer this 
N/A","They don't offer this 
N/A","They don't offer this 
N/A","At the doctor's discretion
N/A",,,
45,Brea Veterinary Hospital,(714) 529-4988,675 S Brea Blvd,Brea,92821,General Practice,"Monday: 9:00 AM – 2:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"The rep was really helpful
Exam fee for new client is different from existing clients","69 (existing client)
34 (new client)","13
(Vet tech appointment)","17.25
(Exact)","47.75
(Exact)",,,"31
(Exact)","36
(Exact)","30.50
(Exact)",,,"700
(Start price)

","375
(Start Price)","2500
(Start Price)",229,,,,"Varies depending on the emergency
N/A","89
(Exam cost)",,,
46,Founders Veterinary Clinic,(714) 990-0661,330 N Brea Blvd # F,Brea,92821,General Practice,"Tuesday: 8:00 AM – 3:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 3:00 PM
Saturday: 8:00 AM – 3:00 PM
Sunday: 9:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"Close on weekends
Call back on monday
They don't carry canine flu, Lepto
They gave me the same range for neuter and spay with exact prices depending on factors such as if the female dog is in heat
They don't offer emergency or urgent care visits
The general dental care depends on the level of extraction and procedure
Bordetella and DHPP depends are both the same price",79 (Exact price),"They do not charge a vet tech fee
N/A","30
Exact price","35
(Exact price)
","35
(Exact price)
","35
(Exact price)
","35
(Exact price)
","They don't offer this 
N/A","They don't offer this 
N/A",,,"800 - 1000
 (exact price depends on the state of the pet","800 - 1000
 (exact price depends on the state of the pet","Depends on the level of extraction and procedure to be done
N/A","194 Start price
50 additional cleaning",,,,"They don't offer this 
N/A","They don't offer this 
N/A",,,
47,Pacific Paws Animal Hospital,(714) 930-7297,710 N Brea Blvd Ste E,Brea,92821,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"The rep was really helpful
No vet tech fee
Dental care with anaesthesia, urgent and emergency care visits varies based on situation
The rep included the price for the medications for the spay and neuter
They do not perform dental care without anaesthesia","50
(Exact)","No vet tech fee
N/A","15
(Exact)","41
(Exact)",,,"23
(Exact)","60
(Exact)","23
(Exact)",,,"337
(Start price)
Including
20-50
(medication)","287
(Start price)
Including
20-50
(medication)","Varies on the situation
N/A","They don't offer this
N/A",,,,"Varies on the pet's situation
N/A","Varies on the pet's situation
N/A",,,
48,Animal Urgent Care,(818) 296-0700,126 E Alameda Ave,Burbank,91502,General Practice,"Monday: 12:00 PM – 10:00 PM
Tuesday: 12:00 PM – 10:00 PM
Wednesday: 12:00 PM – 10:00 PM
Thursday: 12:00 PM – 10:00 PM
Friday: 12:00 PM – 10:00 PM
Saturday: 12:00 PM – 10:00 PM
Sunday: 12:00 PM – 10:00 PM",Called - Got Prices,,,,,They are strictly an urgent care facility and they do not handle general care clinic procedures,"175 (Exact general exam fee)
200 if the dog needs to be isolated","No vet tech fee
N/A","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital","N/A
Urgent care hospital",,,,"Handled by another facility
N/A","Exact price depends on pet's condition
N/A",,,
49,"Bastet Cat Hospital, inc.",(818) 846-8600,120 E Olive Ave #18,Burbank,91502,General Practice,"Tuesday: 8:00 AM – 2:00 PM
Wednesday: 8:00 AM – 2:00 PM
Thursday: 8:00 AM – 2:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: 8:00 AM – 2:00 PM
Sunday: 8:00 AM – 2:00 PM",Wrong Specialty,,,,,They specialize in cats only,,,,,,,,,,,,,,,,,,,,,,,
50,Burbank Veterinary Center,(818) 736-5334,2118 W Burbank Blvd,Burbank,91506,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Refused,Declined to Share,Yes,No,Customer Rep,They stated that I would need to schedule an appointment to get the prices,,,,,,,,,,,,,,,,,,,,,,,
51,Community Animal Treatment Center (CATC),(818) 330-3403,2706 W Burbank Blvd,Burbank,91505,General Practice,"Tuesday: 7:00 AM – 4:30 PM
Wednesday: 7:00 AM – 4:30 PM
Thursday: 7:00 AM – 4:30 PM
Friday: 7:00 AM – 4:30 PM
Saturday: 7:00 AM – 4:30 PM
Sunday: 7:00 AM – 4:30 PM",Called - Got Prices,,Yes,No,Customer Rep,"The rep stated that the emergency and urgent care visit prices are on a case by case basis so it depends
They also do not provide dental care without anaesthesia
They charge different exam fees for first time clients and existing clients
","45 ( Exact First time clients)
55 ( Exact existing clients )","They don't charge that
N/A","15
(Exact)","20
(Exact)","20
(Exact)","20
(Exact)","20
(Exact)","35
(Exact)","35
(Exact)",,,"$375 - Over 
Rough estimate (Exact prices are determined by the doctor)","$375 - Over 
Rough estimate (Exact prices are determined by the doctor)","350
(Starting Price)","They do not offer that
N/A
","They do not offer that
N/A
","They do not offer that
N/A
","They do not offer that
N/A
","Depends on when the doctor examines the dog
N/A
","They do not offer that
N/A
",,,
52,Media City Animal Hospital,(818) 848-5007,1509 W Burbank Blvd,Burbank,91506,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"They don't do urgent or emergency care visits
There are no vet tech fees
The rep gave me an estimate for the spay, neuter and general dental care prices as the exact prices of those procedured will be determined by the doctor
The prices of the vaccines except the canine flu are the same",96.60 (Exact price),"They don't charge that
N/A","45
Exact price","45
Exact price","45
Exact price","45
Exact price","45
Exact price","50
(Exact price)","45
(Exact price)",,,"1117 (Estimated price, exact price depends on when the doc examines the dog)","1070
Estimated price, exact price depends on when the doc examines the dog)","1800 - 3300 estimated range
(Depends on when the doctor examines the dog)","315
(Depends on when the doctor examines the dog)",,,,,,,,
53,Rainbow Veterinary Hospital,(818) 846-1166,2321 Empire Ave,Burbank,91504,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep provided a uniform starting price for the leptoand spay, stating that the exact prices depend on doctor evaluation
They don't offer dental care withour anaesthesia
They provided an emergency care cost with a starting price of 120 plus additional costs determined by the doctor's evaluation/discretion
The vet tech doesn't charge their own fees
The fees for the vaccines except canine flu are uniform",78 (Exact fee),"They don't charge a seperate fee
N/A","41
(Exact Fee)","41
(Exact Fee)","41
(Exact Fee)","41
(Exact Fee)","41
(Exact Fee)","51
(Exact Fees)","41
(Exact Fee)",,,1000 (Starting Price) + (additional prices depending on doctor's evaluation),1000 (Starting Price) + (additional prices depending on doctor's evaluation),900 (Start Price),"They do not offer that
N/A
",,,,"They don't offer this
N/A","Depends on doctor's evaluation
N/A",,,
54,Toluca Burbank Dog & Cat Hospital,(818) 848-4202,3121 W Burbank Blvd,Burbank,91505,General Practice,"Tuesday: 8:00 AM – 12:30 PM
Tuesday: 1:00 PM – 5:30 PM
Wednesday: 8:00 AM – 12:30 PM
Wednesday: 1:00 PM – 5:30 PM
Thursday: 8:00 AM – 12:30 PM
Thursday: 1:00 PM – 5:30 PM
Friday: 8:00 AM – 12:30 PM
Friday: 1:00 PM – 5:30 PM
Saturday: 8:00 AM – 12:30 PM
Saturday: 1:00 PM – 5:30 PM
Sunday: 8:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"They don't offer emergency care
The rep stated that the spay and neuter costs will be determined once the doctor examines the dogs incase there are other conditions
The urgent care depends on what the doctor sees when the dogs are examined so no urgent care price was provided
There are no vet tech fees",65 (Exact Price),"They don't charge these fees 
N/A",22 (Exact price),46 (Exact Price),,,28 (Exact Price),59 (Exact Price),36.50 (Exact Price),,,"Price was not provided, Depends on doctor's evaluation of pets
N/A","Price was not provided, Depends on doctor's evaluation of pets
N/A",870 (Start Price),209 (Starting price for initial visit),,,,"They don't offer this
N/A","Depends on doctor's evaluation
N/A",,,
55,VCA Burbank Animal Hospital,(818) 845-7246,2723 W Olive Ave,Burbank,91505,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"The rep was extremely helpful
They don't offer emergency or urgent care citing General clinic
The neuter and spay costs provided were estimates the exact costs is determined when the doctor evaluates the dogs
General dental cleaning prices are also at the doctor's discretion
They don't offer dental care without anasthesia
They don't administer DHPP on its own they administer it with lepto",102 (Exact Price),"They don't charge these fees 
N/A",58 (Exact Price),"55.75
((Exact Price with Lepto combo)",,,"54
(Exact Price)","73 
(Exact Price)","55.75 (Exact Price with DHPP combo)
",,,1600 (Estimated Price),1400 (Estimated Price),"Depends on Doctor's evaluation/discretion
N/A","They do not offer that service
N/A
","They do not offer that service
N/A
","They do not offer that service
N/A
","They do not offer that service
N/A
","They do not offer that service
N/A
","They do not offer that service
N/A
",,,
56,All Animals Veterinary Hospital,(818) 600-1838,23815 Ventura Blvd,Calabasas,91302,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Customer Rep,"The rep was extemely helpful
I was provided an estimate of about 1000 - 3000 for both spay and neuter costs
They don't offer canine flu vaccine
For urgent care price, I was provided the exam fee of 125 plus additional fees depending on what the doctor's see when the dogs are evaluated
They don't provide dental cleaning services without anasthesia
The vet tech fees depend on the doctor as well as the services they provide. DHPP Bordetella and Lepto have the same prices",85 (Exact Price),"Varies depending on services
N/A","49.55
(Exact Price)","35.50
(Exact Price)",,,"35.50
(Exact Price)","They don't offer this
N/A","38.50
(Exact Price)",,,"1000 -3000
(Range)","1000 -3000
(Range)","1500 - 3000
(Range)","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A","They don't offer this
N/A",125 (Exam fee) + (additional fees based on what the doctor sees upon evaluation and procedures),,,
