NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
48,Companion Veterinary Clinic,(530) 885-3251,105 Auburn Folsom Rd,Auburn,95603,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:00 PM – 6:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:00 PM – 6:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:00 PM – 6:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:00 PM – 6:00 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:00 PM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,$69,,$28,$30,,,$30,$50,$30,,,Starts at $400 to $1000,Starts at $500 to $900,Starts at $599,don't do without anethesia ,,,,$100 additional for Exam Fee ,$100 additional for Exam Fee ,,,
49,Edgewood Veterinary Clinic,null,1055 Grass Valley Hwy,Auburn,95603,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gold Country Veterinary Hospital,(530) 885-1919,3130 Professional Dr Suite C,Auburn,95603,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,$68,,$29 up to $45,$29 up to $45,,,$29 up to $45,$29 up to $45,$29 up to $45,,,$698,$582,$900 and go up,don't do without anethesia ,,,,$81,$81,,,
51,North Fork Vet Clinic,(530) 888-8788,12080 Locksley Ln,Auburn,95602,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$75,,$28,$38,,,$30,$52,$38,,,Needs consultation first before giving estimates,Needs consultation first before giving estimates,Needs consultation first before giving estimates,don't do without anethesia ,,,,$75,$75,,,
52,South Auburn Veterinary Hospital,(530) 823-6310,307 Sacramento St,Auburn,95603,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 5:00 PM
Sunday: 7:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$82,,$35,$35,,,$35,$68,$35,,,Starts $570 - 950 ,Starts $510 - $850 ,Starts at $950 to $1400,don't do without anethesia ,,,,Appointments only,Appointments only,,,
53,4 paws pet hospital,(661) 397-3767,4201 Mexicali Dr,Bakersfield,93313,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$73,,$45 - $50,$45 - $50,,,$45 - $50,$45 - $50,$45 - $50,,,Around $600 - $900,Around $600 - $900,Starts at $900,don't do without anethesia ,,,,Appointments only,Appointments only,,,
54,Allen Road Pet Hospital,(661) 588-7256,2500 Allen Rd,Bakersfield,93314,General Practice,"Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 9:00 AM – 4:00 PM",No Answer,Call Back Later,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
55,Animal Emergency & Urgent Care,(661) 322-6019,4300 Easton Dr,Bakersfield,93309,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,,,$185 exam and consultation,,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,,,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,,,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,Do not do Vaccines. Emergency only,,,,$185 exam and consultation,$185 exam and consultation,,,
56,Auburn Animal Hospital,(661) 872-0363,3713 Auburn St,Bakersfield,93306,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,$65,,$24,$36,,,$25,$36,$28,,,Starts at 250 and can go up depending on the weight,Starts at 250 and can go up depending on the weight,Starts at $500,don't do without anethesia ,,,,Appointments only,Appointments only,,,
57,Bakersfield Large Animal Hospital,(661) 832-1150,5429 Taft Hwy,Bakersfield,93313,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Refused,Declined to Share,,,,They only do Livestock animals,,,,,,,,,,,,,,,,,,,,,,what is the basic exam fee to be seen?,
58,Bakersfield Pet Vet Hospital,(661) 589-1234,9339 Rosedale Hwy # H,Bakersfield,93312,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 12:00 PM",Called - Got Prices,,Yes,Yes,,,$55,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,$85,$85,,,
59,Bakersfield Regional Veterinary Surgical Specialty,(661) 200-7824,35171 Merle Haggard Dr ste f,Bakersfield,93308,General Practice,"Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Cooke's Veterinary Hospital,(661) 323-1130,3232 Landco Dr A,Bakersfield,93308,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:00 PM – 4:30 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:00 PM – 4:30 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:00 PM – 4:30 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:00 PM – 4:30 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:00 PM – 4:30 PM",Voicemail Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Critters Without Litters,(661) 831-6000,4300 Stine Rd Suite 720,Bakersfield,93313,General Practice,"Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 5:00 PM
Friday: 7:00 AM – 5:00 PM",Called - Got Prices,,Yes,,,,,,$18,$18,,,$18,$30,$18,,,$150,$140,,,,,,,,,,
62,Mt. Vernon Veterinary Hospital,(661) 327-7536,2120 E California Ave,Bakersfield,93307,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:30 PM – 5:30 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:30 PM – 5:30 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:30 PM – 5:30 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:30 PM – 5:30 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:30 PM – 5:30 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Nile Point Veterinary Hospital,(661) 327-9516,2007 Niles St,Bakersfield,93305,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 12:00 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Olive Drive Animal Hospital,(661) 393-1213,1105 Roberts Ln,Bakersfield,93308,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sillect Care Animal Hospital,(661) 326-7400,3920 Sillect Ave,Bakersfield,93308,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Saturday: 8:00 AM – 5:00 PM",Callback Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Southwest Veterinary Hospital,(661) 327-5719,2905 Brundage Ln,Bakersfield,93304,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:30 PM – 4:30 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:30 PM – 4:30 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:30 PM – 4:30 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:30 PM – 4:30 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:30 PM – 4:30 PM
Sunday: 8:00 AM – 12:00 PM",Called - Refused,Declined to Share,No,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Stiern Veterinary Hospital,(661) 327-5571,17 Monterey St,Bakersfield,93305,General Practice,"Tuesday: 7:30 AM – 12:00 PM
Tuesday: 1:30 PM – 4:30 PM
Wednesday: 7:30 AM – 12:00 PM
Wednesday: 1:30 PM – 4:30 PM
Thursday: 7:30 AM – 12:00 PM
Thursday: 1:30 PM – 4:30 PM
Friday: 7:30 AM – 12:00 PM
Friday: 1:30 PM – 4:30 PM
Saturday: 7:30 AM – 12:00 PM
Saturday: 1:30 PM – 4:30 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Stine Veterinary Hospital,(661) 398-7121,4450 Stine Rd STE A,Bakersfield,93313,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,109,No technician fee,35,56,,,42,55,38,,,752,325,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments only,Appointments only,,,
69,Stockdale Veterinary Hospital,(661) 832-7814,6400 Nottingham Ln,Bakersfield,93309,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 2:00 PM – 5:30 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 2:00 PM – 5:30 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 2:00 PM – 5:30 PM
Friday: 8:00 AM – 12:00 PM
Friday: 2:00 PM – 5:30 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 2:00 PM – 5:30 PM",Called - Refused,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Thurman Veterinary Center,(661) 589-9900,12816 Jomani Dr,Bakersfield,93312,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,VCA Bakersfield Animal Hospital,(661) 327-4444,8610 Harris Rd,Bakersfield,93311,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,,They are emergency clinics only,$179.25,,Does not do vaccines,Does not do vaccines,,,Does not do vaccines,Does not do vaccines,Does not do vaccines,,,Do not do Spay,Does not do Neuter,Does not do Dental,,,,,$179.25,$179.25,,,
72,Tender Loving Care Animal Hospital,(626) 960-6495,1840 Puente Ave,Baldwin Park,91706,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 1:00 PM – 5:00 PM
Thursday: 9:00 AM – 12:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 12:00 PM",Called - Got Prices,,Yes,Yes,,,$67,,$160 for the 5 in 1 Vaccine,$160 for the 5 in 1 Vaccine,,,$160 for the 5 in 1 Vaccine,$160 for the 5 in 1 Vaccine,$160 for the 5 in 1 Vaccine,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,$67,$67,,,
73,Banning Veterinary Hospital,(951) 849-3864,3559 W Ramsey St Suite E,Banning,92220,General Practice,"Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 12:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bear Valley Animal Clinic,(805) 528-0693,2021 11th St,Baywood-Los Osos,93402,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM",Called - Refused,Declined to Share,No,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Above and Beyond Animal Care,(530) 487-0939,22509 Old Alturas Rd,Bella Vista,96008,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,$95,No Vet Tech Fee,$40,$52,,,$42,$55,$44,,,$465,$420,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,it varies on the hours,it varieson the hours,,,
76,Belmont Pet Hospital,(650) 593-3161,539 Harbor Blvd,Belmont,94002,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,No,,,$120,No technician Fee,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
77,San Francisco Equine Inc,(650) 654-1260,519 Marine View Ave # A,Belmont,94002,General Practice,,Disconnected,,,,,Horse Clinic Only,,,,,,,,,,,,,,,,,,,,,,,
78,Animal Clinic of Benicia,(707) 745-5993,402 Military E,Benicia,94510,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Benicia Cat Clinic,(707) 745-2287,1410 E 2nd St,Benicia,94510,General Practice,"Monday: 9:00 AM – 12:00 PM, 1:30 – 5:00 PM
Tuesday: 9:00 AM – 12:00 PM, 1:30 – 5:00 PM
Wednesday: 9:00 AM – 12:00 PM, 1:30 – 5:00 PM
Thursday: 9:00 AM – 12:00 PM, 1:30 – 5:00 PM
Friday: 9:00 AM – 12:00 PM, 1:30 – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Refused,,,,,Cat Clinic Only,,,,,,,,,,,,,,,,,,,,,,,
80,Pets at Peace,(707) 567-1597,375 E O St,Benicia,94510,General Practice,"Monday: 1:00 – 7:00 PM
Tuesday: 1:00 – 7:00 PM
Wednesday: 1:00 – 7:00 PM
Thursday: 1:00 – 7:00 PM
Friday: 1:00 – 7:00 PM
Saturday: Closed
Sunday: 1:00 – 7:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,VCA Benicia Animal Hospital,(707) 745-4600,335 Military W,Benicia,94510,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,$141,No Vet Tech Fee,Range From $85 - $95 ,Range From $85 - $95 ,,,Range From $85 - $95 ,Range From $85 - $95 ,Range From $85 - $95 ,,,Starts at $800 - $1000,Starts at $800 - $1000,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
82,Berkeley Animal Hospital,(510) 455-2226,2709 San Pablo Ave Suite A,Berkeley,94702,General Practice,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Berkeley Dog & Cat Hospital,(341) 253-0646,2126 Haste St,Berkeley,94704,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,,,$120,No Vet Tech Fee,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,$187,$187,,,
84,Berkeley Humane,(510) 845-7735,2700 Ninth St,Berkeley,94710,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Campus Veterinary Clinic,(510) 549-1252,1807 Martin Luther King Jr Way,Berkeley,94709,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,$118,No Vet Tech Fee,$52,$56,,,$56,$78,$56,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
86,"Mark Matteucci, DVM",(510) 848-5041,2126 Haste St,Berkeley,94704,General Practice,,Called - Got Prices,,Yes,Yes,,,$120,No Vet Tech Fee,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,$187,$187,,,
87,Modern Animal Berkeley,(341) 234-3422,760 Hearst Ave,Berkeley,94710,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Phimister Beth DVM,(510) 528-0797,400 Colusa Ave,Berkeley,94707,General Practice,"Monday: 8:30 AM – 6:00 PM
Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:00 AM – 1:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,$115,No Vet Tech Fee but there is a $9 additional for bio-hazzard waste,$45.23,$27.97,,,$56.24,$86,$42.15,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
89,Spay the Bay,(510) 845-7735 ext. 203,2700 Ninth St,Berkeley,94710,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,University Vet Hospital,(510) 841-4412,2002 Sixth St,Berkeley,94710,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$120,,Around $50 - $60,Around $50 - $60,,,Around $50 - $60,Around $50 - $60,Around $50 - $60,,,Starts at $1500 and up,Starts at $1500 and up,Starts at $1500 and up,Starts at $1500 and up,,,,Appointments Only,Appointments Only,,,
91,Wags 'n Wellness,(415) 340-1213,1510 Walnut St,Berkeley,94709,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Wendy Beers, DVM",(510) 526-2053,1550 Solano Ave,Berkeley,94707,General Practice,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: Closed",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,VCA Desert Dunes Animal Hospital,(760) 345-8227,42430 Washington St,Bermuda Dunes,92203,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,$120,,Ranges from $45 - $75,Ranges from $45 - $75,,,Ranges from $45 - $75,Ranges from $45 - $75,Ranges from $45 - $75,,,Ranges From $950 - $1500,Ranges From $950 - $1500,Starts at $2500,,,,,Appointments Only,Appointments Only,,,
94,Bonita Pet Care Animal Hospital,(619) 267-7387,5080 Bonita Rd E & F,Bonita,91902,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,$74,No technician Fee,$25,$35,,,$25,$47,$37,,, Starts at $300 to $500 includes microchip and labworks,$470 includes microchip and labworks,Starts at $775 ,Starts at $775 ,,,,$104,$104,,,
95,Town & Country Animal Hospital,(619) 479-3311,4055 Bonita Rd,Bonita,91902,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,71.75,No technician Fee,$40,$40,,,$40,$40,$40,,,Starts at $1200,Starts at $1200,Starts at $1200,Starts at $1200,,,,Appointments Only,Appointments Only,,,
96,Beverly Oaks Animal Hospital,(818) 788-2022,14302 Ventura Blvd,Boulevard,91423,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,No,,,$85,No technician Fee,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
